round,emission_micro,total_supply_micro,halving_index
1070,100,107000,0
1071,100,107100,0
1072,100,107200,0
1073,100,107300,0
1074,100,107400,0
1075,100,107500,0
1076,100,107600,0
1077,100,107700,0
1078,100,107800,0
1079,100,107900,0
1080,100,108000,0
1081,100,108100,0
1082,100,108200,0
1083,100,108300,0
1084,100,108400,0
1085,100,108500,0
1086,100,108600,0
1087,100,108700,0
1088,100,108800,0
1089,100,108900,0
1090,100,109000,0
1091,100,109100,0
1092,100,109200,0
1093,100,109300,0
1094,100,109400,0
1095,100,109500,0
1096,100,109600,0
1097,100,109700,0
1098,100,109800,0
1099,100,109900,0
1100,100,110000,0
1101,100,110100,0
1102,100,110200,0
1103,100,110300,0
1104,100,110400,0
1105,100,110500,0
1106,100,110600,0
1107,100,110700,0
1108,100,110800,0
1109,100,110900,0
1110,100,111000,0
1111,100,111100,0
1112,100,111200,0
1113,100,111300,0
1114,100,111400,0
1115,100,111500,0
1116,100,111600,0
1117,100,111700,0
1118,100,111800,0
1119,100,111900,0
1120,100,112000,0
1121,100,112100,0
1122,100,112200,0
1123,100,112300,0
1124,100,112400,0
1125,100,112500,0
1126,100,112600,0
1127,100,112700,0
1128,100,112800,0
1129,100,112900,0
1130,100,113000,0
1131,100,113100,0
1132,100,113200,0
1133,100,113300,0
1134,100,113400,0
1135,100,113500,0
1136,100,113600,0
1137,100,113700,0
1138,100,113800,0
1139,100,113900,0
1140,100,114000,0
1141,100,114100,0
1142,100,114200,0
1143,100,114300,0
1144,100,114400,0
1145,100,114500,0
1146,100,114600,0
1147,100,114700,0
1148,100,114800,0
1149,100,114900,0
1150,100,115000,0
1151,100,115100,0
1152,100,115200,0
1153,100,115300,0
1154,100,115400,0
1155,100,115500,0
1156,100,115600,0
1157,100,115700,0
1158,100,115800,0
1159,100,115900,0
1160,100,116000,0
1161,100,116100,0
1162,100,116200,0
1163,100,116300,0
1164,100,116400,0
1165,100,116500,0
1166,100,116600,0
1167,100,116700,0
1168,100,116800,0
1169,100,116900,0
1170,100,117000,0
1171,100,117100,0
1172,100,117200,0
1173,100,117300,0
1174,100,117400,0
1175,100,117500,0
1176,100,117600,0
1177,100,117700,0
1178,100,117800,0
1179,100,117900,0
1180,100,118000,0
1181,100,118100,0
1182,100,118200,0
1183,100,118300,0
1184,100,118400,0
1185,100,118500,0
1186,100,118600,0
1187,100,118700,0
1188,100,118800,0
1189,100,118900,0
1190,100,119000,0
1191,100,119100,0
1192,100,119200,0
1193,100,119300,0
1194,100,119400,0
1195,100,119500,0
1196,100,119600,0
1197,100,119700,0
1198,100,119800,0
1199,100,119900,0
1200,100,120000,0
1201,100,120100,0
1202,100,120200,0
1203,100,120300,0
1204,100,120400,0
1205,100,120500,0
1206,100,120600,0
1207,100,120700,0
1208,100,120800,0
1209,100,120900,0
1210,100,121000,0
